"tissue","condition","tissue_index","group_offset","x_summary","mean","sd"
"MIA PaCa-2","Control IgG click",1,-0.18,0.82,11.675,1.30989821487524
"MIA PaCa-2","Pre-click",1,0,1,9.225,1.19268604418766
"MIA PaCa-2","Site-specific click",1,0.18,1.18,17.025,2.35141801189552
"Spleen","Control IgG click",2,-0.18,1.82,7.225,1.9737865470545
"Spleen","Pre-click",2,0,2,5.7,1.86547581061776
"Spleen","Site-specific click",2,0.18,2.18,7.325,1.73853386507137
"Liver","Control IgG click",3,-0.18,2.82,6.1,0.883176086632785
"Liver","Pre-click",3,0,3,11.6,3.24653661614959
"Liver","Site-specific click",3,0.18,3.18,4.3,0.469041575982343
"Blood","Control IgG click",4,-0.18,3.82,5.875,0.797391580927046
"Blood","Pre-click",4,0,4,4.45,0.772442015083765
"Blood","Site-specific click",4,0.18,4.18,5.225,0.561990510002912
"Kidney","Control IgG click",5,-0.18,4.82,4.3,0.391578004149024
"Kidney","Pre-click",5,0,5,3.825,0.51234753829798
"Kidney","Site-specific click",5,0.18,5.18,3.9,0.316227766016838
"Lungs","Control IgG click",6,-0.18,5.82,3.45,0.556776436283002
"Lungs","Pre-click",6,0,6,2.35,0.568624070307733
"Lungs","Site-specific click",6,0.18,6.18,2.675,0.543905629069357
"Heart","Control IgG click",7,-0.18,6.82,2.325,0.865544144839919
"Heart","Pre-click",7,0,7,1.55,0.597215762238964
"Heart","Site-specific click",7,0.18,7.18,1.775,0.403112887414928
