"tissue","condition","replicate","uptake","tissue_index","group_offset","x_summary","x_point"
"MIA PaCa-2","Control IgG click",1,10.2,1,-0.18,0.82,0.847504051891156
"MIA PaCa-2","Control IgG click",2,11.2,1,-0.18,0.82,0.789651965366211
"MIA PaCa-2","Control IgG click",3,12,1,-0.18,0.82,0.82682821478229
"MIA PaCa-2","Control IgG click",4,13.3,1,-0.18,0.82,0.845036774822511
"MIA PaCa-2","Pre-click",1,8.1,1,0,1,0.995265632742085
"MIA PaCa-2","Pre-click",2,8.8,1,0,1,0.994968197471462
"MIA PaCa-2","Pre-click",3,9.1,1,0,1,0.983081915278453
"MIA PaCa-2","Pre-click",4,10.9,1,0,1,1.00272201662185
"MIA PaCa-2","Site-specific click",1,15,1,0.18,1.18,1.19477778466884
"MIA PaCa-2","Site-specific click",2,15.7,1,0.18,1.18,1.21412278635893
"MIA PaCa-2","Site-specific click",3,17.1,1,0.18,1.18,1.21859277064214
"MIA PaCa-2","Site-specific click",4,20.3,1,0.18,1.18,1.20069057729328
"Spleen","Control IgG click",1,4.5,2,-0.18,1.82,1.82529528792715
"Spleen","Control IgG click",2,7.4,2,-0.18,1.82,1.81520516166929
"Spleen","Control IgG click",3,7.8,2,-0.18,1.82,1.77783058892237
"Spleen","Control IgG click",4,9.2,2,-0.18,1.82,1.80116217731731
"Spleen","Pre-click",1,3.4,2,0,2,1.97332916600863
"Spleen","Pre-click",2,5.2,2,0,2,2.02811297291191
"Spleen","Pre-click",3,6.4,2,0,2,2.02348609059118
"Spleen","Pre-click",4,7.8,2,0,2,1.99582649637247
"Spleen","Site-specific click",1,5.7,2,0.18,2.18,2.21509083234705
"Spleen","Site-specific click",2,6,2,0.18,2.18,2.21197846502531
"Spleen","Site-specific click",3,8.4,2,0.18,2.18,2.21859752691118
"Spleen","Site-specific click",4,9.2,2,0.18,2.18,2.21482692341087
"Liver","Control IgG click",1,5.2,3,-0.18,2.82,2.83987869917415
"Liver","Control IgG click",2,5.5,3,-0.18,2.82,2.80270267776679
"Liver","Control IgG click",3,6.7,3,-0.18,2.82,2.81092599078314
"Liver","Control IgG click",4,7,3,-0.18,2.82,2.84857436315389
"Liver","Pre-click",1,7.5,3,0,3,3.00510138896294
"Liver","Pre-click",2,10.5,3,0,3,2.98195643043146
"Liver","Pre-click",3,14,3,0,3,3.00484336709837
"Liver","Pre-click",4,14.4,3,0,3,2.98027256473666
"Liver","Site-specific click",1,3.8,3,0.18,3.18,3.15226878960617
"Liver","Site-specific click",2,4.1,3,0.18,3.18,3.22402173150564
"Liver","Site-specific click",3,4.4,3,0.18,3.18,3.2213346700184
"Liver","Site-specific click",4,4.9,3,0.18,3.18,3.19595727384556
"Blood","Control IgG click",1,5,4,-0.18,3.82,3.81282280631363
"Blood","Control IgG click",2,5.6,4,-0.18,3.82,3.84885554886889
"Blood","Control IgG click",3,6,4,-0.18,3.82,3.83485099675832
"Blood","Control IgG click",4,6.9,4,-0.18,3.82,3.81732957317494
"Blood","Pre-click",1,3.7,4,0,4,4.03217486441601
