"comparison","bootstrap_mean","y","density_group"
"Air - Solvent",1.10105450752427,5,"Air"
"Air - Solvent",0.769793945861598,5,"Air"
"Air - Solvent",0.949767462196346,5,"Air"
"Air - Solvent",0.951857515162139,5,"Air"
"Air - Solvent",0.985970509336475,5,"Air"
"Air - Solvent",1.09484962570808,5,"Air"
"Air - Solvent",0.309769950025941,5,"Air"
"Air - Solvent",1.03355211556354,5,"Air"
"Air - Solvent",1.1479269925326,5,"Air"
"Air - Solvent",0.399338504595488,5,"Air"
"Air - Solvent",1.31745844955387,5,"Air"
"Air - Solvent",0.786055541078796,5,"Air"
"Air - Solvent",0.598637342781185,5,"Air"
"Air - Solvent",1.24433311743221,5,"Air"
"Air - Solvent",1.04156017852883,5,"Air"
"Air - Solvent",1.27198903064513,5,"Air"
"Air - Solvent",0.682831548325025,5,"Air"
"Air - Solvent",0.736965095560773,5,"Air"
"Air - Solvent",0.044493785166621,5,"Air"
"Air - Solvent",0.73651538734515,5,"Air"
"Air - Solvent",1.39093202400109,5,"Air"
"Air - Solvent",0.758838044645966,5,"Air"
"Air - Solvent",0.308255527846161,5,"Air"
"Air - Solvent",1.26402271664985,5,"Air"
"Air - Solvent",1.49690166364666,5,"Air"
"Air - Solvent",0.539488552967033,5,"Air"
"Air - Solvent",1.65640630415656,5,"Air"
"Air - Solvent",0.683009547491902,5,"Air"
"Air - Solvent",0.6182359988625,5,"Air"
"Air - Solvent",0.966265345081694,5,"Air"
"Air - Solvent",0.965051354344352,5,"Air"
"Air - Solvent",0.988734281360585,5,"Air"
"Air - Solvent",0.616630930713174,5,"Air"
"Air - Solvent",0.731605239228644,5,"Air"
"Air - Solvent",1.03446158365654,5,"Air"
"Air - Solvent",1.30647724189775,5,"Air"
"Air - Solvent",0.82765892024363,5,"Air"
"Air - Solvent",1.79037865090366,5,"Air"
"Air - Solvent",1.09266262073135,5,"Air"
"Air - Solvent",0.586779743855762,5,"Air"
"Air - Solvent",0.756782213418646,5,"Air"
"Air - Solvent",0.772763808837071,5,"Air"
"Air - Solvent",1.14381346277498,5,"Air"
"Air - Solvent",1.37959749715738,5,"Air"
"Air - Solvent",0.978646905668108,5,"Air"
"Air - Solvent",1.66248586674519,5,"Air"
"Air - Solvent",1.08947195987324,5,"Air"
"Air - Solvent",0.964386015208281,5,"Air"
"Air - Solvent",1.02107069698109,5,"Air"
"Air - Solvent",0.661812647362403,5,"Air"
"Air - Solvent",0.995689584344368,5,"Air"
"Air - Solvent",0.335924834298186,5,"Air"
"Air - Solvent",0.666745799765678,5,"Air"
"Air - Solvent",1.20241635615574,5,"Air"
"Air - Solvent",1.01154509039468,5,"Air"
"Air - Solvent",0.461796987932102,5,"Air"
"Air - Solvent",0.569956162481593,5,"Air"
"Air - Solvent",0.717037860651793,5,"Air"
"Air - Solvent",1.11042635239254,5,"Air"
"Air - Solvent",1.28145414063901,5,"Air"
"Air - Solvent",0.563909440299702,5,"Air"
"Air - Solvent",0.97304734131652,5,"Air"
"Air - Solvent",1.71113477068505,5,"Air"
"Air - Solvent",1.076198744382,5,"Air"
"Air - Solvent",1.08724761507013,5,"Air"
"Air - Solvent",0.967154186019947,5,"Air"
"Air - Solvent",0.425233473281708,5,"Air"
"Air - Solvent",1.14651433719797,5,"Air"
"Air - Solvent",0.968180706381826,5,"Air"
"Air - Solvent",1.18676960423497,5,"Air"
"Air - Solvent",0.887118894928602,5,"Air"
"Air - Solvent",0.930042927398902,5,"Air"
"Air - Solvent",1.38371861919657,5,"Air"
"Air - Solvent",0.431601313402055,5,"Air"
"Air - Solvent",0.957958140521664,5,"Air"
"Air - Solvent",1.14446626535216,5,"Air"
"Air - Solvent",0.727357966446359,5,"Air"
"Air - Solvent",1.23222874913046,5,"Air"
"Air - Solvent",0.587724426121308,5,"Air"
"Air - Solvent",1.06377082274381,5,"Air"
"Air - Solvent",1.25512034349285,5,"Air"
"Air - Solvent",1.12593210922827,5,"Air"
"Air - Solvent",0.911875446004624,5,"Air"
"Air - Solvent",0.791334853619971,5,"Air"
"Air - Solvent",1.72279277982354,5,"Air"
"Air - Solvent",0.772487548368725,5,"Air"
"Air - Solvent",1.26063216695351,5,"Air"
"Air - Solvent",1.54895121493267,5,"Air"
"Air - Solvent",1.33365527295601,5,"Air"
"Air - Solvent",0.411255595858459,5,"Air"
"Air - Solvent",1.24104044611115,5,"Air"
"Air - Solvent",1.6413289098882,5,"Air"
"Air - Solvent",0.600591995623398,5,"Air"
"Air - Solvent",0.205256099145621,5,"Air"
"Air - Solvent",0.583532753273758,5,"Air"
"Air - Solvent",1.38309104980622,5,"Air"
"Air - Solvent",0.457700349623304,5,"Air"
"Air - Solvent",2.09374067159379,5,"Air"
"Air - Solvent",1.57580884129009,5,"Air"
"Air - Solvent",0.142649497165983,5,"Air"
"Air - Solvent",1.04901446086982,5,"Air"
"Air - Solvent",1.46689320569649,5,"Air"
"Air - Solvent",1.3074728507381,5,"Air"
"Air - Solvent",1.24641581412226,5,"Air"
"Air - Solvent",0.451534272971831,5,"Air"
"Air - Solvent",1.17364034444555,5,"Air"
"Air - Solvent",1.4316110961449,5,"Air"
"Air - Solvent",1.13356260737016,5,"Air"
"Air - Solvent",1.15368603113359,5,"Air"
"Air - Solvent",1.48111662179079,5,"Air"
"Air - Solvent",0.826746547288539,5,"Air"
"Air - Solvent",1.54520428499148,5,"Air"
"Air - Solvent",0.666319684553443,5,"Air"
"Air - Solvent",1.02455796671153,5,"Air"
"Air - Solvent",0.953368419338369,5,"Air"
"Air - Solvent",1.43742634481975,5,"Air"
"Air - Solvent",0.381331182539332,5,"Air"
"Air - Solvent",0.519394817743833,5,"Air"
"Air - Solvent",0.795606384445043,5,"Air"
"Air - Solvent",1.12703239825394,5,"Air"
"Air - Solvent",0.917141676829084,5,"Air"
"Air - Solvent",1.6006831869293,5,"Air"
"Air - Solvent",0.831379456445483,5,"Air"
"Air - Solvent",1.18079644396187,5,"Air"
"Air - Solvent",0.840978875915936,5,"Air"
"Air - Solvent",0.906844193629039,5,"Air"
"Air - Solvent",1.48937552308949,5,"Air"
"Air - Solvent",0.828941862906733,5,"Air"
"Air - Solvent",1.12048601033133,5,"Air"
"Air - Solvent",1.33890865550847,5,"Air"
"Air - Solvent",0.89994469295315,5,"Air"
"Air - Solvent",1.34729631788842,5,"Air"
"Air - Solvent",1.5919305240291,5,"Air"
"Air - Solvent",0.742951982865511,5,"Air"
"Air - Solvent",0.976826084299679,5,"Air"
"Air - Solvent",1.49439436810299,5,"Air"
"Air - Solvent",1.14997909660086,5,"Air"
"Air - Solvent",1.77405442874542,5,"Air"
"Air - Solvent",1.16870385778183,5,"Air"
"Air - Solvent",1.43017130418415,5,"Air"
"Air - Solvent",0.844044157790565,5,"Air"
"Air - Solvent",1.26717921954457,5,"Air"
"Air - Solvent",0.821145012522897,5,"Air"
"Air - Solvent",0.525452427340731,5,"Air"
"Air - Solvent",1.50767296374814,5,"Air"
"Air - Solvent",0.670622799592707,5,"Air"
"Air - Solvent",0.653039245054967,5,"Air"
"Air - Solvent",0.988252641327325,5,"Air"
"Air - Solvent",1.06505086822645,5,"Air"
"Air - Solvent",0.513796993143737,5,"Air"
"Air - Solvent",0.746624648316873,5,"Air"
"Air - Solvent",1.27740953787333,5,"Air"
"Air - Solvent",0.431073718385813,5,"Air"
"Air - Solvent",1.42185365195287,5,"Air"
"Air - Solvent",1.21980845006275,5,"Air"
"Air - Solvent",1.5008559959373,5,"Air"
"Air - Solvent",1.07905411576362,5,"Air"
"Air - Solvent",0.51154701416422,5,"Air"
"Air - Solvent",0.936737329251993,5,"Air"
"Air - Solvent",0.897776443518246,5,"Air"
"Air - Solvent",1.15766448079297,5,"Air"
"Air - Solvent",1.02217799416971,5,"Air"
"Air - Solvent",0.935230486469585,5,"Air"
"Air - Solvent",0.81275199356275,5,"Air"
"Air - Solvent",1.44208459845659,5,"Air"
"Air - Solvent",1.47353736680812,5,"Air"
"Air - Solvent",0.493243610237733,5,"Air"
"Air - Solvent",1.21300878931037,5,"Air"
"Air - Solvent",0.98297833045931,5,"Air"
"Air - Solvent",0.941795968095007,5,"Air"
"Air - Solvent",0.763389960549483,5,"Air"
"Air - Solvent",1.54640676747596,5,"Air"
"Air - Solvent",1.24771360459703,5,"Air"
"Air - Solvent",1.12211136979428,5,"Air"
"Air - Solvent",0.720003928503666,5,"Air"
"Air - Solvent",0.447393483235819,5,"Air"
"Air - Solvent",0.981452166044312,5,"Air"
"Air - Solvent",0.913890940021439,5,"Air"
"Air - Solvent",1.4179809767206,5,"Air"
"Air - Solvent",1.19794182019543,5,"Air"
"Air - Solvent",1.13542017640027,5,"Air"
"Air - Solvent",0.822685434736649,5,"Air"
"Air - Solvent",0.925680427313241,5,"Air"
"Air - Solvent",0.767427948563689,5,"Air"
"Air - Solvent",1.56631279194798,5,"Air"
"Air - Solvent",1.80651422095339,5,"Air"
"Air - Solvent",0.446821348058034,5,"Air"
"Air - Solvent",1.28458524676517,5,"Air"
"Air - Solvent",1.21498761773374,5,"Air"
"Air - Solvent",1.48108600082365,5,"Air"
"Air - Solvent",1.76640015954985,5,"Air"
"Air - Solvent",0.791772537063206,5,"Air"
"Air - Solvent",0.797848932021118,5,"Air"
"Air - Solvent",1.2637210384086,5,"Air"
"Air - Solvent",1.11487987631423,5,"Air"
"Air - Solvent",0.615682460952597,5,"Air"
"Air - Solvent",1.1460531335462,5,"Air"
"Air - Solvent",1.02023497244307,5,"Air"
"Air - Solvent",1.7669974698717,5,"Air"
"Air - Solvent",1.05216599927997,5,"Air"
"Air - Solvent",1.2562541679423,5,"Air"
"Air - Solvent",1.38229868293341,5,"Air"
"Air - Solvent",0.792057406516537,5,"Air"
"Air - Solvent",1.30629255701126,5,"Air"
"Air - Solvent",1.2714373488077,5,"Air"
"Air - Solvent",1.33952082096654,5,"Air"
"Air - Solvent",1.20480779531531,5,"Air"
"Air - Solvent",1.41484453389906,5,"Air"
"Air - Solvent",1.10932379764744,5,"Air"
"Air - Solvent",1.47945440957951,5,"Air"
"Air - Solvent",1.31840966067124,5,"Air"
"Air - Solvent",1.49185544337254,5,"Air"
"Air - Solvent",1.20744860010827,5,"Air"
"Air - Solvent",0.39708567713913,5,"Air"
"Air - Solvent",1.00333133004819,5,"Air"
"Air - Solvent",0.798615208387483,5,"Air"
"Air - Solvent",0.745241379987627,5,"Air"
"Air - Solvent",0.586450022296332,5,"Air"
"Air - Solvent",1.24725600191332,5,"Air"
"Air - Solvent",1.60485698117019,5,"Air"
"Air - Solvent",0.310310076812472,5,"Air"
"Air - Solvent",1.16101797876735,5,"Air"
"Air - Solvent",1.21738030223844,5,"Air"
"Air - Solvent",0.647595564493874,5,"Air"
"Air - Solvent",0.00846165484621844,5,"Air"
"Air - Solvent",0.938567179336949,5,"Air"
"Air - Solvent",1.16216114604296,5,"Air"
"Air - Solvent",0.966159841189087,5,"Air"
"Air - Solvent",1.39485643933633,5,"Air"
"Air - Solvent",0.71499174810915,5,"Air"
"Air - Solvent",0.734063809300331,5,"Air"
"Air - Solvent",1.35525826479193,5,"Air"
"Air - Solvent",1.40409375911852,5,"Air"
"Air - Solvent",1.41499144804947,5,"Air"
"Air - Solvent",1.41576916535267,5,"Air"
"Air - Solvent",0.892754554543093,5,"Air"
"Air - Solvent",1.27486400169219,5,"Air"
"Air - Solvent",1.45869944235392,5,"Air"
"Air - Solvent",1.08516458265717,5,"Air"
"Air - Solvent",0.797912244771451,5,"Air"
"Air - Solvent",0.906004512872683,5,"Air"
"Air - Solvent",0.828154228654239,5,"Air"
"Air - Solvent",0.978704217563648,5,"Air"
"Air - Solvent",1.08960634155297,5,"Air"
"Air - Solvent",1.43432354813568,5,"Air"
"Air - Solvent",1.00018323407132,5,"Air"
"Air - Solvent",1.21240875334036,5,"Air"
"Air - Solvent",1.10978068672969,5,"Air"
"Air - Solvent",0.558761881180273,5,"Air"
"Air - Solvent",1.50818976021934,5,"Air"
"Air - Solvent",1.21059967429985,5,"Air"
"Air - Solvent",1.54916921852043,5,"Air"
"Air - Solvent",1.09709464721409,5,"Air"
"Air - Solvent",0.711018642834762,5,"Air"
"Air - Solvent",1.57516753768707,5,"Air"
"Air - Solvent",0.914714508952587,5,"Air"
"Air - Solvent",0.934318072148572,5,"Air"
"Air - Solvent",0.935765267832,5,"Air"
"Air - Solvent",0.501525896751243,5,"Air"
"Air - Solvent",0.914323397521643,5,"Air"
"Air - Solvent",1.64085640315961,5,"Air"
"Air - Solvent",0.572254944708944,5,"Air"
"Air - Solvent",1.5048783214773,5,"Air"
"Air - Solvent",1.30365783309274,5,"Air"
"Air - Solvent",1.33243755496872,5,"Air"
"Air - Solvent",1.20140812815539,5,"Air"
"Air - Solvent",1.0596840626604,5,"Air"
"Air - Solvent",1.17546394179208,5,"Air"
"Air - Solvent",0.798464808595853,5,"Air"
"Air - Solvent",0.865224084542747,5,"Air"
"Air - Solvent",1.27213702753554,5,"Air"
"Air - Solvent",1.03655485278347,5,"Air"
"Air - Solvent",1.34478532190393,5,"Air"
"Air - Solvent",1.05164735428399,5,"Air"
"Air - Solvent",1.28490577134653,5,"Air"
"Air - Solvent",1.25818686799355,5,"Air"
"Air - Solvent",0.790737791608688,5,"Air"
"Air - Solvent",0.751341032153523,5,"Air"
"Air - Solvent",1.34620043390724,5,"Air"
"Air - Solvent",0.807645870647338,5,"Air"
"Air - Solvent",0.957661619393251,5,"Air"
"Air - Solvent",1.47358392816843,5,"Air"
"Air - Solvent",1.03150315647503,5,"Air"
"Air - Solvent",1.33086576544461,5,"Air"
"Air - Solvent",0.893920772009407,5,"Air"
"Air - Solvent",1.10740535545863,5,"Air"
"Air - Solvent",0.572045464815371,5,"Air"
"Air - Solvent",0.284523751940461,5,"Air"
"Air - Solvent",1.53453709553093,5,"Air"
"Air - Solvent",0.821552978384033,5,"Air"
"Air - Solvent",0.825845477002731,5,"Air"
"Air - Solvent",0.81930342835887,5,"Air"
"Air - Solvent",1.6806888713042,5,"Air"
"Air - Solvent",1.20638575965236,5,"Air"
"Air - Solvent",0.51085924404505,5,"Air"
"Air - Solvent",1.08131902406867,5,"Air"
"Air - Solvent",1.15687665063851,5,"Air"
"Air - Solvent",1.07403747339851,5,"Air"
"Air - Solvent",1.38609742687301,5,"Air"
"Air - Solvent",1.04968386297431,5,"Air"
"Air - Solvent",0.935043171253714,5,"Air"
"Air - Solvent",0.948338811738672,5,"Air"
"Air - Solvent",1.2954138422339,5,"Air"
"Air - Solvent",0.939370707337749,5,"Air"
"Air - Solvent",1.29874347282915,5,"Air"
"Air - Solvent",1.0104905622855,5,"Air"
"Air - Solvent",0.788084192584633,5,"Air"
"Air - Solvent",0.408664805269365,5,"Air"
"Air - Solvent",1.36359826878719,5,"Air"
"Air - Solvent",0.38362512887257,5,"Air"
"Air - Solvent",0.909333821474938,5,"Air"
"Air - Solvent",1.16162505619546,5,"Air"
"Air - Solvent",1.74383493476037,5,"Air"
"Air - Solvent",1.08561029046416,5,"Air"
"Air - Solvent",0.599675650199582,5,"Air"
"Air - Solvent",1.26325629496279,5,"Air"
"Air - Solvent",1.26066345973766,5,"Air"
"Air - Solvent",1.22672692812026,5,"Air"
"Air - Solvent",0.807820923474062,5,"Air"
"Air - Solvent",0.933439572206598,5,"Air"
"Air - Solvent",1.12904482617958,5,"Air"
"Air - Solvent",1.40515160428887,5,"Air"
"Air - Solvent",1.33453655949415,5,"Air"
"Air - Solvent",1.47610745902802,5,"Air"
"Air - Solvent",1.33461532886872,5,"Air"
"Air - Solvent",1.18391687174709,5,"Air"
"Air - Solvent",1.52329947144823,5,"Air"
"Air - Solvent",0.550949599016624,5,"Air"
"Air - Solvent",0.828931988332405,5,"Air"
"Air - Solvent",0.865015432009629,5,"Air"
"Air - Solvent",0.827995876674309,5,"Air"
"Air - Solvent",1.17900674382091,5,"Air"
"Air - Solvent",0.879827957831465,5,"Air"
"Air - Solvent",1.37229042807648,5,"Air"
"Air - Solvent",1.05435573352345,5,"Air"
"Air - Solvent",1.00697513211652,5,"Air"
"Air - Solvent",0.76938604784641,5,"Air"
"Air - Solvent",0.794379650812876,5,"Air"
"Air - Solvent",0.503546318022385,5,"Air"
"Air - Solvent",0.757445999580266,5,"Air"
"Air - Solvent",0.785398193854064,5,"Air"
"Air - Solvent",0.951510420014032,5,"Air"
"Air - Solvent",1.13534634633468,5,"Air"
"Air - Solvent",0.76592365271619,5,"Air"
"Air - Solvent",0.955476675263954,5,"Air"
"Air - Solvent",0.445974792138694,5,"Air"
"Air - Solvent",0.590494287155648,5,"Air"
"Air - Solvent",1.01834114620117,5,"Air"
"Air - Solvent",0.72033146674638,5,"Air"
"Air - Solvent",1.14494507995966,5,"Air"
"Air - Solvent",0.801900174400366,5,"Air"
"Air - Solvent",0.582767773347422,5,"Air"
"Air - Solvent",1.1526250030118,5,"Air"
"Air - Solvent",1.09694029048042,5,"Air"
"Air - Solvent",0.957996061025238,5,"Air"
"Air - Solvent",1.10716794317147,5,"Air"
"Air - Solvent",1.3112024772206,5,"Air"
"Air - Solvent",1.55808705343997,5,"Air"
"Air - Solvent",0.809622796956333,5,"Air"
"Air - Solvent",0.972713563757958,5,"Air"
"Air - Solvent",0.956428080607929,5,"Air"
"Air - Solvent",1.17888650695828,5,"Air"
"Air - Solvent",1.34774144567134,5,"Air"
"Air - Solvent",0.722097750330386,5,"Air"
"Air - Solvent",1.12141534308518,5,"Air"
"Air - Solvent",1.51458084088376,5,"Air"
"Air - Solvent",1.03942949077544,5,"Air"
"Air - Solvent",1.0823767528539,5,"Air"
"Air - Solvent",0.604627553759131,5,"Air"
"Air - Solvent",0.775536251868431,5,"Air"
"Air - Solvent",0.996058770020293,5,"Air"
"Air - Solvent",1.49875886315534,5,"Air"
"Air - Solvent",0.977718460388606,5,"Air"
"Air - Solvent",1.30709065764619,5,"Air"
"Air - Solvent",1.15419005145448,5,"Air"
"Air - Solvent",0.765438384252138,5,"Air"
"Air - Solvent",0.16364983939982,5,"Air"
"Air - Solvent",1.60870634521237,5,"Air"
"Air - Solvent",1.34818846512345,5,"Air"
"Air - Solvent",1.12964263131524,5,"Air"
"Air - Solvent",0.689223729083091,5,"Air"
"Air - Solvent",0.902908593342432,5,"Air"
"Air - Solvent",1.24352772425179,5,"Air"
"Air - Solvent",1.17180196474569,5,"Air"
"Air - Solvent",1.15829616259033,5,"Air"
"Air - Solvent",0.825362075935609,5,"Air"
