"subject","group","AUC","comparison","row_y"
1,"Solvent",5.17078625940226,"Air - Solvent",6
1,"Air",12.5387714244548,"Air - Solvent",5
2,"Solvent",1.14801953873393,"Air - Solvent",6
2,"Air",3.83247108304568,"Air - Solvent",5
3,"Solvent",-0.793459953069408,"Air - Solvent",6
3,"Air",5.8901332244313,"Air - Solvent",5
4,"Solvent",-2.94077446245511,"Air - Solvent",6
4,"Air",-4.1472593331823,"Air - Solvent",5
5,"Solvent",2.54367938483369,"Air - Solvent",6
5,"Air",1.80613150011184,"Air - Solvent",5
6,"Solvent",8.8018498249178,"Air - Solvent",6
6,"Air",9.28654654094045,"Air - Solvent",5
7,"Solvent",0.888120345039259,"Air - Solvent",6
7,"Air",1.60459672965589,"Air - Solvent",5
8,"Solvent",-11.1593023653912,"Air - Solvent",6
8,"Air",-11.4714097105565,"Air - Solvent",5
9,"Solvent",-4.97176942607587,"Air - Solvent",6
9,"Air",-10.0060807695433,"Air - Solvent",5
10,"Solvent",4.25629753901552,"Air - Solvent",6
10,"Air",4.45395566209771,"Air - Solvent",5
11,"Solvent",7.3559196470639,"Air - Solvent",6
11,"Air",10.8783060096904,"Air - Solvent",5
12,"Solvent",8.80418166588089,"Air - Solvent",6
12,"Air",13.6308896407535,"Air - Solvent",5
13,"Solvent",3.51264679697149,"Air - Solvent",6
13,"Air",6.11314922039554,"Air - Solvent",5
14,"Solvent",-1.53285696971613,"Air - Solvent",6
14,"Air",-0.402869067054042,"Air - Solvent",5
15,"Solvent",0.855374315419001,"Air - Solvent",6
15,"Air",5.91902550027505,"Air - Solvent",5
16,"Solvent",0.811838410455538,"Air - Solvent",6
16,"Air",1.02581303058192,"Air - Solvent",5
17,"Solvent",-5.22603590610959,"Air - Solvent",6
17,"Air",-2.78155870849439,"Air - Solvent",5
18,"Solvent",10.4539435781939,"Air - Solvent",6
18,"Air",16.2678706704174,"Air - Solvent",5
19,"Solvent",-1.20747143561843,"Air - Solvent",6
19,"Air",-4.73646235483714,"Air - Solvent",5
20,"Solvent",2.5570704322916,"Air - Solvent",6
20,"Air",8.51989804966653,"Air - Solvent",5
21,"Solvent",6.41488770112267,"Air - Solvent",6
