"link_id","from_gene","from_category","to_gene","to_category"
1,"GDF3","Multimorbidity","FGF10","Lung cancer"
2,"CTAG1A","Breast cancer","HPC1","Prostate cancer"
3,"IL23","Glaucoma","CKAP4","Multimorbidity"
4,"WFDC2","Multimorbidity","NLRP3","Premature mortality"
5,"BRCA1","Prostate cancer","LAMB2","Renal disease"
6,"ESR1","Breast cancer","PICALM","Alzheimer's disease"
7,"RNASE4","Heart failure","GABRA2","Breast cancer"
8,"PLXNB2","Multimorbidity","APOL1","Renal disease"
9,"DPP9","COPD","HAVCR1","Premature mortality"
10,"MSR1","Prostate cancer","MMP9","Lung cancer"
11,"LAMB2","Renal disease","APOE","Alzheimer's disease"
12,"ZP1","Acute pancreatitis","HPC1","Prostate cancer"
13,"APOL1","Renal disease","IL31","COPD"
14,"HAVCR1","Premature mortality","GDF5","Lung cancer"
15,"VEGFA","Glaucoma","TIMP1","Heart failure"
16,"TIMP1","Heart failure","CDC42","COPD"
17,"NLRP3","Premature mortality","IL23","Glaucoma"
18,"LRIG3","Acute pancreatitis","ANGPT1","Glaucoma"
19,"CXCL17","COPD","MZB1","Acute pancreatitis"
20,"HOXB13","Prostate cancer","TPBG","Glaucoma"
21,"TPBG","Glaucoma","PLXNB2","Multimorbidity"
22,"NFE2L2","Premature mortality","CXCL13","Lung cancer"
23,"FOXO3","Premature mortality","APOL1","Renal disease"
24,"RNASEL","Prostate cancer","ESR1","Breast cancer"
25,"KCNJ11","Type 2 diabetes","FOXO3","Premature mortality"
26,"CLSTN3","Acute pancreatitis","IGF2","Type 2 diabetes"
27,"NPPB","Heart failure","ADIPOQ","Type 2 diabetes"
28,"IL31","COPD","MANBA","Renal disease"
29,"IGF2","Type 2 diabetes","NFE2L2","Premature mortality"
30,"GDF5","Lung cancer","CTAG1A","Breast cancer"
31,"CDC42","COPD","PPARG","Type 2 diabetes"
32,"CLU","Alzheimer's disease","WFDC2","Multimorbidity"
33,"HPC1","Prostate cancer","FURIN","Heart failure"
34,"CKAP4","Multimorbidity","IL31","COPD"
35,"GBP4","Breast cancer","ADIPOQ","Type 2 diabetes"
36,"UMOD","Renal disease","PITX2","Glaucoma"
