"signature","AR_Spratt","AR_Hieronymus","AR_Full","AR_V7","Androgen_Response","Basal_Zhang","BRCA1_DDR","Homologous_Recomb","DNA_Repair","MMR","Chromatin_Remodel","Replication_Stress","CD8_Tcell","CD4_Tcell","Bcell","IFN_Gamma","Inflammatory","TGFbeta","Stromal","Luminal_A","Luminal_B","Basal","Neuroendocrine","EMT","Stemness","PI3K_AKT","MAPK","MYC","WNT","TP53_Loss","RB_Loss","Hypoxia","Glycolysis","OxPhos","Proliferation","Radiotherapy","Metastasis"
"AR_Spratt",1,0.587658442830857,0.657291015911705,0.697160745436607,0.614113317561593,0.667418384659764,0.0970624280969108,0.110983207534932,0.0769940838906356,0.199204585411482,0.0311126586988656,0.157552854104578,-0.197439652612066,-0.227896862379621,-0.189885603678707,-0.258542513714927,-0.312576084989878,-0.227823124374848,-0.139576484404071,-0.266235162786887,-0.193228393228393,-0.28684152132428,-0.308868019212847,-0.259141976383356,-0.194081159598401,-0.0130598199563717,-0.0518036793898863,-0.0288909599254427,-0.0222647808854705,-0.0254935496314807,0.0588183484735209,0.0477173649587443,0.0699541527127734,0.0405005991212888,0.197419169832963,0.175033540550782,-0.12699391320081
"AR_Hieronymus",0.587658442830857,1,0.690617180272353,0.707804280218073,0.71320012699323,0.706213451041037,0.417170030963134,0.475146537215503,0.386130427509738,0.460834536696606,0.367491098525581,0.442521566659498,-0.22375934100072,-0.324717593683111,-0.238196286472148,-0.307885528575184,-0.360739974533078,-0.305722547101857,-0.196383423969631,-0.285785975441148,-0.220891751926235,-0.333284174663485,-0.296358503255055,-0.281487322866633,-0.306203892410789,0.178143509177992,0.142774528981426,0.0978919806506013,0.154551444206617,0.154423085457568,0.06412748481714,0.134675638123914,0.198135384342281,0.137304261442192,0.258288527254044,0.329115246356626,-0.0117359496669841
"AR_Full",0.657291015911705,0.690617180272353,1,0.78309010033148,0.677406470509919,0.783862983862984,0.16234582441479,0.191254536082122,0.13579536338157,0.270474415302001,0.131112317319214,0.24480061721441,-0.180848601538257,-0.28516876103083,-0.23180634215117,-0.306845003396727,-0.344048557841661,-0.307535955811818,-0.21862021172366,-0.305709574675092,-0.257987430401223,-0.364114853770026,-0.34978714978715,-0.313899955279266,-0.269142351900973,-0.0225269604579949,-0.049479566720946,-0.0792369482024654,-0.0362101396584155,-0.00187212601005704,-0.0584837964148309,0.0297580642408229,0.0840893185720772,0.0544521027279648,0.17842821980753,0.167255546565891,-0.13423935492901
"AR_V7",0.697160745436607,0.707804280218073,0.78309010033148,1,0.73266559473456,0.778333999023654,0.276972235592925,0.326035319138767,0.25680489128765,0.376729514660549,0.269886559541732,0.310835048766083,-0.174968678416954,-0.304346104346104,-0.20588743347364,-0.332935967418726,-0.365507682749062,-0.311534194292815,-0.183705266463887,-0.41513813927607,-0.292573285676734,-0.404123866192832,-0.391868336695923,-0.367463788153443,-0.356451563348115,0.0843337464027119,0.0325464532361084,0.0340655926862823,0.059244390278873,0.0907387114283666,0.0659804935667005,0.0511707615155891,0.12241123275606,0.103967855691994,0.254912282498489,0.238342396963087,-0.11508454267075
"Androgen_Response",0.614113317561593,0.71320012699323,0.677406470509919,0.73266559473456,1,0.71431848673228,0.382565058427127,0.404830522071901,0.374684650546719,0.467540598575081,0.347430264671644,0.41167381857037,-0.170745129365819,-0.319609871334009,-0.223978506737127,-0.33925763580936,-0.377955750369543,-0.272364293053948,-0.166492221664635,-0.403962052237914,-0.299407023544955,-0.440230226437123,-0.352932621898139,-0.3754131547235,-0.367115580908684,0.0577170577170577,0.0511748580714098,0.0275670896360551,0.0636816429919878,0.121895066722653,0.0427468772296358,0.094331390883115,0.165360206739517,0.0981930775034223,0.280948625776212,0.261117881807537,-0.063009807837394
"Basal_Zhang",0.667418384659764,0.706213451041037,0.783862983862984,0.778333999023654,0.71431848673228,1,0.248858938514111,0.276416469519918,0.194758456827422,0.321803576975991,0.194299642575505,0.26640994916857,-0.189351003144107,-0.309726930416585,-0.244678403299093,-0.320099409754582,-0.383322238494652,-0.310245144727903,-0.183165203854859,-0.365250282491662,-0.282759986208262,-0.426567530015806,-0.410740486602556,-0.362278914003052,-0.299060864578106,-0.0251528527390596,-0.0315789833031212,-0.0637171464757672,-0.0394757774068119,-0.0486213382765107,-0.0353061663406491,0.00247090591918178,0.0744432951329503,0.0263722608550195,0.204213990420887,0.215241235930891,-0.155095603371465
"BRCA1_DDR",0.0970624280969108,0.417170030963134,0.16234582441479,0.276972235592925,0.382565058427127,0.248858938514111,1,0.672635348497417,0.671416623140761,0.644993838097286,0.685568175223347,0.612867964592102,-0.133113484837623,-0.199147233629992,-0.106954244885279,-0.157308426273943,-0.189566755083996,-0.221437959368994,-0.21637529913392,-0.187037131864718,-0.0793680379887276,-0.183006120937155,-0.0941183699804389,-0.12479269720649,-0.171670268221992,0.246045287424598,0.236395850188954,0.166600780393884,0.189632982736431,0.187131352648594,0.0514090445124928,0.174306401892609,0.175875382771934,0.164762792348999,0.173848953159298,0.236053105018622,0.0925528028976305
"Homologous_Recomb",0.110983207534932,0.475146537215503,0.191254536082122,0.326035319138767,0.404830522071901,0.276416469519918,0.672635348497417,1,0.691207767069836,0.642228662918318,0.691295843019981,0.669087731156697,-0.239951660641316,-0.292864141140003,-0.210328099983272,-0.248387834594731,-0.273472411403446,-0.272722058928955,-0.279277231001369,-0.201367566884808,-0.123840930737482,-0.1825397963329,-0.135535232086956,-0.165354061905786,-0.223590016693465,0.286905017939501,0.259866384004315,0.209930734068665,0.219475709130882,0.243032270618477,0.150472640127813,0.188412891861168,0.196692713934093,0.207262510710787,0.17982377982378,0.304725035759518,0.110929269549959
"DNA_Repair",0.0769940838906356,0.386130427509738,0.13579536338157,0.25680489128765,0.374684650546719,0.194758456827422,0.671416623140761,0.691207767069836,1,0.617722383239624,0.694170942446804,0.648731262524366,-0.139607891332029,-0.180242994036097,-0.132997415756036,-0.183160424539735,-0.170737619013481,-0.146451870589802,-0.195287595287595,-0.162988983678639,-0.0369113334630576,-0.140404671439154,-0.0875911910394669,-0.100938452662591,-0.219266102024723,0.298810974673044,0.26042966042966,0.213447627240731,0.20515688101895,0.248273131031752,0.164407757511206,0.180075035247449,0.1693755142031,0.221558125006401,0.203173465242431,0.264298857402306,0.115037432278812
"MMR",0.199204585411482,0.460834536696606,0.270474415302001,0.376729514660549,0.467540598575081,0.321803576975991,0.644993838097286,0.642228662918318,0.617722383239624,1,0.573956146369939,0.568886658541831,-0.200921725059656,-0.263077401008435,-0.227044096009613,-0.275837489630593,-0.311442704546153,-0.300453010797838,-0.262580352235525,-0.206902013798565,-0.16364443260995,-0.166520214796077,-0.142174383553694,-0.162821707649294,-0.237525816836162,0.258620348275521,0.224501500363569,0.155346176035831,0.240170143618419,0.262897835311628,0.0990977335804922,0.187732180835629,0.197035459104425,0.145005786385097,0.138801552594656,0.26607539710988,0.088359295255847
"Chromatin_Remodel",0.0311126586988656,0.367491098525581,0.131112317319214,0.269886559541732,0.347430264671644,0.194299642575505,0.685568175223347,0.691295843019981,0.694170942446804,0.573956146369939,1,0.663442677235781,-0.00209129174646416,-0.0370171611550922,-0.0033735137183413,-0.0764349040211109,-0.0348173106793796,-0.052597045700494,-0.0641445537997262,-0.132209511519856,-0.0231762645555749,-0.129539239884067,-0.0534450327553776,-0.113549699756596,-0.176162824438686,0.247407392234978,0.257856340614961,0.231679348920728,0.204261783572128,0.238743176674211,0.0945409979892738,0.159046731460525,0.142246756039859,0.171907185700289,0.160169187755395,0.22001986829573,0.0989659610349265
"Replication_Stress",0.157552854104578,0.442521566659498,0.24480061721441,0.310835048766083,0.41167381857037,0.26640994916857,0.612867964592102,0.669087731156697,0.648731262524366,0.568886658541831,0.663442677235781,1,-0.154642933953279,-0.170906260561433,-0.158878772671876,-0.199614240993551,-0.175318933939624,-0.156053514674204,-0.178531316462351,-0.115251818700095,-0.0706437396092569,-0.154346616415582,-0.0688460343632757,-0.118404118404118,-0.171943371943372,0.216918092780162,0.184911019393778,0.192893841169703,0.162296665744942,0.213961062236924,0.0689115792564068,0.123436054470537,0.131795076622663,0.101772101772102,0.11717105510209,0.164557964557965,0.0355901942108839
"CD8_Tcell",-0.197439652612066,-0.22375934100072,-0.180848601538257,-0.174968678416954,-0.170745129365819,-0.189351003144107,-0.133113484837623,-0.239951660641316,-0.139607891332029,-0.200921725059656,-0.00209129174646416,-0.154642933953279,1,0.702306019547399,0.686773245393935,0.699472568438086,0.751123992503303,0.716267764543627,0.735683390855805,0.227147875423737,0.21846181156526,0.243898009415251,0.206644613541165,0.205897674863192,0.193305545029683,-0.0707761949141259,-0.0220961393375186,0.0115290735980391,-0.064434726503692,0.00737380047724875,0.00971429936947178,-0.224898866278177,-0.232290418497315,-0.250894243997692,-0.145342386721697,-0.153360029222098,-0.193377917515849
"CD4_Tcell",-0.227896862379621,-0.324717593683111,-0.28516876103083,-0.304346104346104,-0.319609871334009,-0.309726930416585,-0.199147233629992,-0.292864141140003,-0.180242994036097,-0.263077401008435,-0.0370171611550922,-0.170906260561433,0.702306019547399,1,0.630322023425472,0.693473845197983,0.785352081903806,0.736943081770668,0.640239785067371,0.423353099215168,0.386973635249497,0.392985330916365,0.407642807642808,0.389426789426789,0.394862236241546,-0.0413608758436345,0.0701480563549529,0.0178411833584247,-0.0348466693294279,0.0297724021861953,0.0451617968859348,-0.153792898620485,-0.178409785306337,-0.192615275373896,-0.152673173362829,-0.118213628558456,-0.143117274151757
"Bcell",-0.189885603678707,-0.238196286472148,-0.23180634215117,-0.20588743347364,-0.223978506737127,-0.244678403299093,-0.106954244885279,-0.210328099983272,-0.132997415756036,-0.227044096009613,-0.0033735137183413,-0.158878772671876,0.686773245393935,0.630322023425472,1,0.652057665850769,0.7031772204186,0.648687565928945,0.653593191524226,0.182231189127741,0.21214492248975,0.20492132905926,0.210478989789335,0.172325717153303,0.211703859979722,-0.0646340922202991,-0.0118472394334463,-0.0414960621857174,-0.0703419599971324,-0.0104393897497346,0.0141604279535314,-0.211046362770501,-0.217074444660652,-0.208904546835581,-0.15947550430309,-0.156454294385329,-0.15097105441933
"IFN_Gamma",-0.258542513714927,-0.307885528575184,-0.306845003396727,-0.332935967418726,-0.33925763580936,-0.320099409754582,-0.157308426273943,-0.248387834594731,-0.183160424539735,-0.275837489630593,-0.0764349040211109,-0.199614240993551,0.699472568438086,0.693473845197983,0.652057665850769,1,0.780974229250091,0.728719928719929,0.634378296447262,0.361192643951265,0.379910490255318,0.405074949902536,0.42310798862523,0.371924937442179,0.358893793376552,0.00672517913897224,0.0375483478931755,0.0427864772692359,-0.000426724564655599,0.0425632149770081,0.111626366798781,-0.219982999293344,-0.170517770517771,-0.228550263033022,-0.189483458448976,-0.150610557507109,-0.149465570155225
"Inflammatory",-0.312576084989878,-0.360739974533078,-0.344048557841661,-0.365507682749062,-0.377955750369543,-0.383322238494652,-0.189566755083996,-0.273472411403446,-0.170737619013481,-0.311442704546153,-0.0348173106793796,-0.175318933939624,0.751123992503303,0.785352081903806,0.7031772204186,0.780974229250091,1,0.81259622638933,0.726822540615644,0.394404787508236,0.415235773856463,0.419949544087475,0.44448586517552,0.402447692102864,0.369344790034445,-0.0576501473053197,-0.00013791737929669,0.00119619429964258,-0.048101758446586,-0.00382754865513486,0.0302264371229888,-0.208912739947223,-0.231909438805991,-0.257738906014768,-0.214038214038214,-0.18189254051323,-0.145548580031339
"TGFbeta",-0.227823124374848,-0.305722547101857,-0.307535955811818,-0.311534194292815,-0.272364293053948,-0.310245144727903,-0.221437959368994,-0.272722058928955,-0.146451870589802,-0.300453010797838,-0.052597045700494,-0.156053514674204,0.716267764543627,0.736943081770668,0.648687565928945,0.728719928719929,0.81259622638933,1,0.648495027805373,0.363062038924108,0.392005571315916,0.413093275162241,0.388101553618795,0.351973345076793,0.352959249510974,-0.00623837175561313,0.0569837742251535,0.0916590709694158,-0.00654356516425482,0.0613070061345923,0.116803047837531,-0.205160977574771,-0.222918864298175,-0.262462234876028,-0.194998105342933,-0.176452314383349,-0.13406320302872
"Stromal",-0.139576484404071,-0.196383423969631,-0.21862021172366,-0.183705266463887,-0.166492221664635,-0.183165203854859,-0.21637529913392,-0.279277231001369,-0.195287595287595,-0.262580352235525,-0.0641445537997262,-0.178531316462351,0.735683390855805,0.640239785067371,0.653593191524226,0.634378296447262,0.726822540615644,0.648495027805373,1,0.132320118527015,0.151364323778117,0.166761228830194,0.0985399192295744,0.122370949957157,0.0834482075861386,-0.127038975314837,-0.0732143283867422,-0.0980019048984566,-0.122791529688081,-0.0519217967493829,-0.0249999146550871,-0.270727036244278,-0.229931485103899,-0.311569015017291,-0.1556568315189,-0.147945747945748,-0.235676221883118
"Luminal_A",-0.266235162786887,-0.285785975441148,-0.305709574675092,-0.41513813927607,-0.403962052237914,-0.365250282491662,-0.187037131864718,-0.201367566884808,-0.162988983678639,-0.206902013798565,-0.132209511519856,-0.115251818700095,0.227147875423737,0.423353099215168,0.182231189127741,0.361192643951265,0.394404787508236,0.363062038924108,0.132320118527015,1,0.608100939135422,0.635659152900532,0.676099669203117,0.665018485708141,0.619278391692185,0.0491887112576768,0.0573012573012573,0.053044253044253,0.0307364583226652,0.0346466208535174,0.00584510239682653,0.0135179514489859,-0.00190011914149845,-0.041086406603648,-0.0954845713466403,-0.0908691184553253,0.0107439003990728
"Luminal_B",-0.193228393228393,-0.220891751926235,-0.257987430401223,-0.292573285676734,-0.299407023544955,-0.282759986208262,-0.0793680379887276,-0.123840930737482,-0.0369113334630576,-0.16364443260995,-0.0231762645555749,-0.0706437396092569,0.21846181156526,0.386973635249497,0.21214492248975,0.379910490255318,0.415235773856463,0.392005571315916,0.151364323778117,0.608100939135422,1,0.620680779301469,0.65450057863851,0.604404480266549,0.567011118735257,0.178770282218558,0.161544947751844,0.145315076349559,0.163148066596342,0.209330588640933,0.163167866616142,0.0757371240129861,0.0294235121821329,0.0415616070788484,0.0565638772535324,-0.0168996582789686,0.0605238812135364
