"iso_a2","country","lon","lat","label_lon","label_lat","carbon_mt","inland","peat","salt","moor","carbon_class"
"IS","Iceland",-18.8,64.9,-20.5,65.8,520,16.1819320025481,54.6844375410524,6.8270997831885,22.306530673211,"500-1,200"
"IE","Ireland",-8.2,53.4,-6.3,54.5,610,7.13775061373275,80.1607870349832,3.663675336607,9.03778701467708,"500-1,200"
"GB","United Kingdom",-2.3,54.3,-3.9,52.3,720,6.86002202506763,77.1155944100611,5.53224971578672,10.4921338490846,"500-1,200"
"NO","Norway",8.5,61.7,8.7,59.7,980,1.45989676054789,47.7296267113891,1.00454828678369,49.8059282412794,"500-1,200"
"SE","Sweden",15.2,61.2,16.7,64.2,1100,5.39386126945381,88.4016211954653,0.986740682995324,5.21777685208556,"500-1,200"
"FI","Finland",25.5,63.1,25.2,65.3,420,9.35769582264299,74.7094672016074,8.43072234135371,7.50211463439592,"250-500"
"DK","Denmark",10,56.2,11.6,56.2,165,35.2089841554303,8.27148438848386,44.7998143909445,11.7197170651414,"100-250"
"EE","Estonia",25.4,58.6,22.6,59.7,88,8.99737084574062,76.5739491955547,5.24970401715881,9.17897594154585,"50-100"
"LV","Latvia",24.4,57.1,26.2,57.5,82,8.14189683228588,77.2524838958199,3.9265372585362,10.679082013358,"50-100"
"LT","Lithuania",24,55.3,21,55,78,8.7492713270564,79.5888605905848,5.30995419101189,6.35191389134692,"50-100"
"NL","Netherlands",5.4,52.1,7.1,52.3,120,17.2441027344523,65.858494179047,5.90611549863355,10.9912875878671,"100-250"
"BE","Belgium",4.7,50.8,6.5,50.9,72,9.32517090695344,78.5924842059421,4.67038041821575,7.4119644688887,"50-100"
"LU","Luxembourg",6.1,49.7,7.3,49.8,34,4.61157970424132,90.0112303714162,0.993022040305306,4.3841678840372,"0-50"
"FR","France",2.2,46.4,0.1,48.1,225,9.77572240875708,10.8177302701824,8.53276904120162,70.8737782798589,"100-250"
"DE","Germany",10.4,51.1,12.2,52.1,240,30.8776772986775,56.7190456193699,5.07361825945956,7.32965882249308,"100-250"
"PL","Poland",19.1,52,17,52.1,180,94.406736471742,1.01350418824079,1.01350418824079,3.5662551517764,"100-250"
"CH","Switzerland",8.2,46.8,6,45.8,64,3.06508582540643,12.3215099262175,1.14296414191964,83.4704401064564,"50-100"
"LI","Liechtenstein",9.6,47.1,10.7,46.4,18,9.01275694375885,4.16092044870581,1.01078898821571,85.8155336193196,"0-50"
"AT","Austria",14.1,47.6,14.3,49,76,24.0782788123237,17.5653270837156,1.01260159111506,57.3437925128456,"50-100"
"CZ","Czechia",15.4,49.8,16.8,50.6,54,16.934686007904,68.2647411199607,1.02828924197173,13.7722836301635,"50-100"
"SK","Slovakia",19.6,48.8,22.1,49.6,50,38.3682020437084,6.42323109987902,1.17430309009605,54.0342637663165,"0-50"
"HU","Hungary",19.2,47.1,22,47.9,58,91.2831208462315,1.14119649316067,0.992304359575551,6.58337830103227,"50-100"
"SI","Slovenia",14.9,46.1,16.2,47,41,64.3805439853444,6.89743390586671,0.991233431705169,27.7307886770837,"0-50"
"HR","Croatia",16.5,44.8,14.8,44.1,47,66.8954074431527,18.5218129495486,2.33155161370324,12.2512279935955,"0-50"
"BA","Bosnia and Herz.",17.8,44.1,17.6,42.8,39,88.7792057349482,3.41621174546495,2.77963293015182,5.024949589435,"0-50"
"RS","Serbia",20.8,44.1,22.3,43.4,44,87.6359134337956,3.01441449556375,3.39833374351552,5.95133832712518,"0-50"
"ME","Montenegro",19.2,42.8,20.3,41.7,27,77.0647179803094,3.14561705468909,1.51141019344312,18.2782547715584,"0-50"
"AL","Albania",20,41.1,18.7,40.4,25,15.6063534003604,2.12928783360989,79.8881624638668,2.37619630216294,"0-50"
"MK","North Macedonia",21.7,41.6,23.3,41.5,22,85.5399551863376,1.51008396227677,1.66533186923712,11.2846289821486,"0-50"
"BG","Bulgaria",25.3,42.7,27.1,42.8,46,92.742614087271,3.79642621339274,1.65565410264899,1.80530559668726,"0-50"
"RO","Romania",25,45.7,26.6,46.1,84,67.5786618494951,8.13978431805137,4.4552586554608,19.8262951769927,"50-100"
"GR","Greece",22.2,39,21.1,40,48,6.30449263700526,2.07148661204655,84.2054407314402,7.41858001950797,"0-50"
"CY","Cyprus",33,35.1,31,35,18,73.8402457987157,2.66317538678294,20.3622195099298,3.13435930457157,"0-50"
"TR","T<U+00FC>rkiye",33.2,39.3,29.8,39.5,320,81.0236612586916,3.12102452711625,14.3617004622145,1.49361375197766,"250-500"
"PT","Portugal",-8,39.7,-9.2,40.4,94,2.43864675132546,3.50090839849522,2.60930510657621,91.4511397436031,"50-100"
"ES","Spain",-3.5,40.1,-1.7,39.1,220,5.36498468828787,1.015924188927,3.25132336185144,90.3677677609337,"100-250"
"AD","Andorra",1.6,42.5,3,42,12,2.09493720027264,91.8313950938302,1.19611334576061,4.87755436013656,"0-50"
"IT","Italy",12.4,42.7,12.7,41.5,95,20.3184075520269,5.38060811979593,1.01820625280936,73.2827780753678,"50-100"
