"PC1","PC2","probability","gibbs_energy"
0.02,1.458,7.97864457862984e-05,11
0.02,1.45845562130178,8.9424965176995e-05,11
0.02,1.45891124260355,9.95105191965081e-05,11
0.02,1.45936686390533,0.000109941461093913,11
0.02,1.4598224852071,0.000120597086881931,11
0.02,1.46027810650888,0.000131339141846656,11
0.02,1.46073372781065,0.000142014136703045,11
0.02,1.46118934911243,0.000152456460481796,11
0.02,1.4616449704142,0.000162492235285625,11
0.02,1.46210059171598,0.000171943814311809,11
0.02,1.46255621301775,0.000180634781650974,11
0.02,1.46301183431953,0.000188395273300214,11
0.02,1.4634674556213,0.000195067406643195,11
0.02,1.46392307692308,0.00020051058328028,11
0.02,1.46437869822485,0.000204606420047479,11
0.02,1.46483431952663,0.000207263067157121,11
0.02,1.4652899408284,0.000208418691494729,11
0.02,1.46574556213018,0.000208043936965023,11
0.02,1.46620118343195,0.000206143220939917,11
0.02,1.46665680473373,0.000202754783697066,11
0.02,1.4671124260355,0.000197949472609671,11
0.02,1.46756804733728,0.000191828310377033,11
0.02,1.46802366863905,0.000184518962016571,11
0.02,1.46847928994083,0.000176171273965042,11
0.02,1.4689349112426,0.000166952106233145,11
0.02,1.46939053254438,0.000157039711770639,11
0.02,1.46984615384615,0.00014661793385846,11
0.02,1.47030177514793,0.000135870491653098,11
0.02,1.4707573964497,0.000124975606588805,11
0.02,1.47121301775148,0.000114101190143258,11
0.02,1.47166863905325,0.000103400769536751,11
0.02,1.47212426035503,9.30102760802602e-05,11
0.02,1.4725798816568,8.30457653154027e-05,11
0.02,1.47303550295858,7.360208298369e-05,11
0.02,1.47349112426036,6.47524400242857e-05,11
0.02,1.47394674556213,5.65488163408758e-05,11
0.02,1.47440236686391,4.90230792189883e-05,11
0.02,1.47485798816568,4.21886792430935e-05,11
0.02,1.47531360946746,3.6042774601462e-05,11
0.02,1.47576923076923,3.05686331375348e-05,11
0.02,1.47622485207101,2.57381690614399e-05,11
0.02,1.47668047337278,2.15144860310045e-05,11
0.02,1.47713609467456,1.78543182424893e-05,11
0.02,1.47759171597633,1.47102840855801e-05,11
0.02,1.47804733727811,1.2032890805745e-05,11
0.02,1.47850295857988,9.77225175401039e-06,11
0.02,1.47895857988166,7.87949883600744e-06,11
0.02,1.47941420118343,6.30789075759093e-06,11
0.02,1.47986982248521,5.01363206731652e-06,11
0.02,1.48032544378698,3.95642864557681e-06,11
0.02,1.48078106508876,3.09981231565673e-06,11
0.02,1.48123668639053,2.41127100677857e-06,11
0.02,1.48169230769231,1.86222188272519e-06,11
0.02,1.48214792899408,1.42786363479952e-06,11
0.02,1.48260355029586,1.0869413101181e-06,11
0.02,1.48305917159763,8.21453156910061e-07,11
0.02,1.48351479289941,6.16324502546618e-07,11
0.02,1.48397041420118,4.590690379049e-07,11
0.02,1.48442603550296,3.39453372588218e-07,11
0.02,1.48488165680473,2.49176569787812e-07,11
0.02,1.48533727810651,1.81572707265821e-07,11
0.02,1.48579289940828,1.31341414151662e-07,11
0.02,1.48624852071006,9.43088200445051e-08,11
0.02,1.48670414201183,6.72194012308674e-08,11
0.02,1.48715976331361,4.75577692263643e-08,11
0.02,1.48761538461538,3.33984535484839e-08,11
0.02,1.48807100591716,2.32811103857654e-08,11
0.02,1.48852662721893,1.61082677472666e-08,11
0.02,1.48898224852071,1.10626260206154e-08,11
0.02,1.48943786982249,7.54100816672413e-09,11
0.02,1.48989349112426,5.10224253224358e-09,11
0.02,1.49034911242604,3.42651953117121e-09,11
0.02,1.49080473372781,2.28405666327123e-09,11
0.02,1.49126035502959,1.51120854765929e-09,11
0.02,1.49171597633136,9.92451448258634e-10,11
0.02,1.49217159763314,6.46943064473479e-10,11
0.02,1.49262721893491,4.18601129387986e-10,11
0.02,1.49308284023669,2.6885545037434e-10,11
0.02,1.49353846153846,1.71407111756061e-10,11
0.02,1.49399408284024,1.0847722006382e-10,11
0.02,1.49444970414201,6.8148576221736e-11,11
0.02,1.49490532544379,4.25003877140811e-11,11
0.02,1.49536094674556,2.63121669091349e-11,11
0.02,1.49581656804734,1.61717878628805e-11,11
0.02,1.49627218934911,9.8675080321074e-12,11
0.02,1.49672781065089,5.97744424011086e-12,11
0.02,1.49718343195266,3.59495097119382e-12,11
0.02,1.49763905325444,2.14659904754226e-12,11
0.02,1.49809467455621,1.27262676152574e-12,11
0.02,1.49855029585799,7.49127560402698e-13,11
0.02,1.49900591715976,4.37853495559983e-13,11
0.02,1.49946153846154,2.54118250858275e-13,11
0.02,1.49991715976331,1.4645204942094e-13,11
0.02,1.50037278106509,8.38166695506282e-14,11
0.02,1.50082840236686,4.76397532005359e-14,11
0.02,1.50128402366864,2.68936655745267e-14,11
0.02,1.50173964497041,1.50806754504591e-14,11
0.02,1.50219526627219,8.40130468975027e-15,11
0.02,1.50265088757396,4.65065657629383e-15,11
0.02,1.50310650887574,2.55881448250911e-15,11
0.02,1.50356213017751,1.39982639360113e-15,11
0.02,1.50401775147929,7.6177156817083e-16,11
0.02,1.50447337278107,4.12629561619458e-16,11
0.02,1.50492899408284,2.22655813436528e-16,11
0.02,1.50538461538462,1.19812641049815e-16,11
0.02,1.50584023668639,6.43795234132473e-17,11
0.02,1.50629585798817,3.46014673603839e-17,11
0.02,1.50675147928994,1.86389753875005e-17,11
0.02,1.50720710059172,1.00868886551027e-17,11
0.02,1.50766272189349,5.49846861198931e-18,11
0.02,1.50811834319527,3.02735367603491e-18,11
0.02,1.50857396449704,1.68790590621826e-18,11
0.02,1.50902958579882,9.55057798186169e-19,11
0.02,1.50948520710059,5.49178169884244e-19,11
0.02,1.50994082840237,3.2105739239743e-19,11
0.02,1.51039644970414,1.90709562679629e-19,11
0.02,1.51085207100592,1.14926272283163e-19,11
0.02,1.51130769230769,7.01088957638203e-20,11
0.02,1.51176331360947,4.31850283081646e-20,11
0.02,1.51221893491124,2.67901117527639e-20,11
0.02,1.51267455621302,1.66971328784836e-20,11
0.02,1.51313017751479,1.04329236763301e-20,11
0.02,1.51358579881657,6.52358417600348e-21,11
0.02,1.51404142011834,4.0761499818541e-21,11
0.02,1.51449704142012,2.54213948361653e-21,11
0.02,1.51495266272189,1.58106540276423e-21,11
0.02,1.51540828402367,9.79965136031032e-22,11
0.02,1.51586390532544,6.05012828202826e-22,11
0.02,1.51631952662722,3.71921762142156e-22,11
0.02,1.51677514792899,2.27590888921091e-22,11
0.02,1.51723076923077,1.38608574799105e-22,11
0.02,1.51768639053254,8.40034083864368e-23,11
0.02,1.51814201183432,5.06561769055919e-23,11
0.02,1.51859763313609,3.03924885305378e-23,11
0.02,1.51905325443787,1.81416578684443e-23,11
0.02,1.51950887573964,1.07733099355202e-23,11
0.02,1.51996449704142,6.36460547018687e-24,11
0.02,1.5204201183432,3.74054803129072e-24,11
0.02,1.52087573964497,2.18692136693009e-24,11
0.02,1.52133136094675,1.27191707399176e-24,11
0.02,1.52178698224852,7.35878060202518e-25,11
0.02,1.5222426035503,4.23514166221473e-25,11
0.02,1.52269822485207,2.42459005153816e-25,11
0.02,1.52315384615385,1.38073330564695e-25,11
0.02,1.52360946745562,7.82122408244773e-26,11
0.02,1.5240650887574,4.40681686053288e-26,11
0.02,1.52452071005917,2.46974523775835e-26,11
0.02,1.52497633136095,1.37672586382077e-26,11
0.02,1.52543195266272,7.63312020250592e-27,11
0.02,1.5258875739645,4.20927425183553e-27,11
0.02,1.52634319526627,2.30862919627145e-27,11
0.02,1.52679881656805,1.25931581985168e-27,11
0.02,1.52725443786982,6.83188898030902e-28,11
0.02,1.5277100591716,3.68608527282274e-28,11
0.02,1.52816568047337,1.97788898881385e-28,11
0.02,1.52862130177515,1.0554673289304e-28,11
0.02,1.52907692307692,5.60130709631461e-29,11
0.02,1.5295325443787,2.95618830764201e-29,11
0.02,1.52998816568047,1.55156674007371e-29,11
0.02,1.53044378698225,8.09847376852512e-30,11
0.02,1.53089940828402,4.20368469427965e-30,11
0.02,1.5313550295858,2.16996332269124e-30,11
0.02,1.53181065088757,1.11396667471443e-30,11
0.02,1.53226627218935,5.6871268577592e-31,11
0.02,1.53272189349112,2.88747993871288e-31,11
0.02,1.5331775147929,1.45799418547948e-31,11
0.02,1.53363313609467,7.32166174528945e-32,11
0.02,1.53408875739645,3.65668577193723e-32,11
0.02,1.53454437869822,1.81634115816951e-32,11
0.02,1.535,8.97319651560507e-33,11
0.0210059171597633,1.458,0.000119781299423104,11
0.0210059171597633,1.45845562130178,0.000134536640170515,11
0.0210059171597633,1.45891124260355,0.000150049404289649,11
0.0210059171597633,1.45936686390533,0.000166178083262656,11
0.0210059171597633,1.4598224852071,0.000182751112242271,11
0.0210059171597633,1.46027810650888,0.000199568297787822,11
0.0210059171597633,1.46073372781065,0.000216403443788895,11
0.0210059171597633,1.46118934911243,0.000233008219494586,11
0.0210059171597633,1.4616449704142,0.000249117257305218,11
0.0210059171597633,1.46210059171598,0.000264454403063866,11
0.0210059171597633,1.46255621301775,0.000278739971040257,11
0.0210059171597633,1.46301183431953,0.000291698783840646,11
0.0210059171597633,1.4634674556213,0.000303068709305172,11
0.0210059171597633,1.46392307692308,0.000312609347896233,11
0.0210059171597633,1.46437869822485,0.000320110481073076,11
0.0210059171597633,1.46483431952663,0.000325399869108577,11
0.0210059171597633,1.4652899408284,0.000328349989966349,11
0.0210059171597633,1.46574556213018,0.000328883341650304,11
0.0210059171597633,1.46620118343195,0.000326975989011237,11
0.0210059171597633,1.46665680473373,0.000322659119950966,11
0.0210059171597633,1.4671124260355,0.000316018480388026,11
0.0210059171597633,1.46756804733728,0.000307191675121535,11
0.0210059171597633,1.46802366863905,0.000296363444132793,11
0.0210059171597633,1.46847928994083,0.000283759141396994,11
0.0210059171597633,1.4689349112426,0.000269636746605837,11
0.0210059171597633,1.46939053254438,0.000254277821110284,11
0.0210059171597633,1.46984615384615,0.000237977871631342,11
0.0210059171597633,1.47030177514793,0.00022103660519965,11
0.0210059171597633,1.4707573964497,0.00020374854564239,11
0.0210059171597633,1.47121301775148,0.000186394437943645,11
0.0210059171597633,1.47166863905325,0.000169233796778058,11
0.0210059171597633,1.47212426035503,0.000152498866296127,11
0.0210059171597633,1.4725798816568,0.000136390157903028,11
0.0210059171597633,1.47303550295858,0.00012107362977416,11
0.0210059171597633,1.47349112426036,0.00010667947417689,11
0.0210059171597633,1.47394674556213,9.33023931122894e-05,11
0.0210059171597633,1.47440236686391,8.10031744260661e-05,11
0.0210059171597633,1.47485798816568,6.98113324227447e-05,11
0.0210059171597633,1.47531360946746,5.97285501439569e-05,11
0.0210059171597633,1.47576923076923,5.07326539391201e-05,11
0.0210059171597633,1.47622485207101,4.27818623134126e-05,11
0.0210059171597633,1.47668047337278,3.58190767329801e-05,11
0.0210059171597633,1.47713609467456,2.97760179507906e-05,11
0.0210059171597633,1.47759171597633,2.45770532121299e-05,11
0.0210059171597633,1.47804733727811,2.01426034140454e-05,11
0.0210059171597633,1.47850295857988,1.63920615248087e-05,11
0.0210059171597633,1.47895857988166,1.32461916917246e-05,11
0.0210059171597633,1.47941420118343,1.06290107067867e-05,11
0.0210059171597633,1.47986982248521,8.46917891614636e-06,11
0.0210059171597633,1.48032544378698,6.70094603750663e-06,11
0.0210059171597633,1.48078106508876,5.26470905766827e-06,11
0.0210059171597633,1.48123668639053,4.10724520216156e-06,11
0.0210059171597633,1.48169230769231,3.18168392876309e-06,11
0.0210059171597633,1.48214792899408,2.44727912427145e-06,11
0.0210059171597633,1.48260355029586,1.86903728698984e-06,11
0.0210059171597633,1.48305917159763,1.41725045969215e-06,11
0.0210059171597633,1.48351479289941,1.06697488691705e-06,11
0.0210059171597633,1.48397041420118,7.97488474898134e-07,11
0.0210059171597633,1.48442603550296,5.91752621675159e-07,11
0.0210059171597633,1.48488165680473,4.35897184413822e-07,11
0.0210059171597633,1.48533727810651,3.18741447122027e-07,11
0.0210059171597633,1.48579289940828,2.31359020637655e-07,11
0.0210059171597633,1.48624852071006,1.66690641865893e-07,11
0.0210059171597633,1.48670414201183,1.19205778422087e-07,11
0.0210059171597633,1.48715976331361,8.46116911556472e-08,11
