"cluster","gene","percentage_detected","z_score","category"
"Vasc_Peri_PDGFRB","SLC17A7",2.05519451914622,-0.415232135633925,"Vasc"
"Vasc_Fib_GPC3","SLC17A7",5.22078104670645,-0.61809828965586,"Vasc"
"Vasc_Cap_MFSD2A","SLC17A7",8.12167198955204,-0.521645275953867,"Vasc"
"Opc_PDGFRa","SLC17A7",4.7664287650672,-0.776895738937186,"Opc"
"Olig_SGCZ","SLC17A7",8.23618936952092,-0.990271562923379,"Olig"
"Olig_PTPRE","SLC17A7",5.28147399476375,-0.712983568717929,"Olig"
"Olig_EPHB2","SLC17A7",3.63304530252236,-1.02756750014619,"Olig"
"Olig_ARHGAP24","SLC17A7",7.61062470693532,-0.698890958957932,"Olig"
"Micro_PRDM11","SLC17A7",4.5146296772069,-0.982485130697636,"Micro"
"Micro_HSPA6","SLC17A7",5.20436724941497,-0.425506867292164,"Micro"
"Micro_GPNMB","SLC17A7",6.58628912644698,-0.675996008550406,"Micro"
"Micro_FCGR1B","SLC17A7",4.03326056657928,-0.328834984228574,"Micro"
"Micro_CR1","SLC17A7",4.08173354143086,-0.887594109938709,"Micro"
"Micro_CD83_WIPF1","SLC17A7",4.86212292879847,-0.848769624964516,"Micro"
"Micro_CD74_BTF","SLC17A7",32.8165483017374,0.221401725858723,"Micro"
"Glut_L6b_CTGF","SLC17A7",34.5680659962831,0.428285028022824,"Glut"
"Glut_L6_THEMIS_POSTN","SLC17A7",35.1665038628909,0.144878775379386,"Glut"
"Glut_L6_SULF1_SGCZ","SLC17A7",38.9729407777906,0.742194038106517,"Glut"
"Glut_L6_RORB_THEMIS_PXDN","SLC17A7",29.647458080488,0.701053062127379,"Glut"
"Glut_L56_NPSR1","SLC17A7",44.335328782272,0.347522306840533,"Glut"
"Glut_L5_RORB_THEMIS_ADGRL4","SLC17A7",26.4717051362688,-0.0554968755285439,"Glut"
"Glut_L5_RORB_FSHR","SLC17A7",28.0500305761161,0.406159715356389,"Glut"
"Glut_L5_RORB_COL22A1","SLC17A7",43.6847392614006,0.352006960692916,"Glut"
"Glut_L5_RORB_CLMP_CACNG5","SLC17A7",32.8828226289816,0.467204289791766,"Glut"
