"longitude","latitude","percentage_lost"
-133.25,57.25,15.9617909227548
-132.75,55.25,17.5226143478182
-132.75,57.25,17.8390667661085
-132.75,57.75,16.5347492524074
-132.75,59.25,16.9473401635679
-132.75,59.75,16.5266659669182
-132.75,61.25,13.3435037415477
-132.75,61.75,12.4686626192464
-132.25,57.25,16.9066608125398
-132.25,57.75,16.5984154944151
-132.25,59.25,16.0831301016646
-132.25,59.75,16.9794362347985
-132.25,60.25,14.074749775452
-132.25,61.25,14.1394335238917
-132.25,61.75,14.4480334258731
-131.75,57.25,16.7907550939016
-131.75,57.75,17.863421494307
-131.25,57.75,18.6465355251685
-131.25,58.25,16.5262999873896
-130.75,57.75,17.1987100200072
-129.75,64.25,14.0132772736913
-129.75,64.75,11.9048072458563
-129.25,64.25,13.8560818633702
-128.75,56.75,22.1254853740816
-128.75,57.25,20.2542973729895
-128.25,53.25,26.6570982441237
-128.25,53.75,27.3993922640932
-128.25,54.25,25.7962258767665
-128.25,56.75,21.2248751735275
-128.25,57.25,22.2508598526961
-128.25,57.75,19.842484851232
-128.25,67.75,11.6988470453919
-128.25,68.25,12.5543012576016
-127.75,53.75,27.1868766554769
-127.75,54.25,26.6817397525972
-127.75,57.25,21.1318336584185
-127.75,57.75,20.3416048900781
-127.25,52.25,29.4242523592544
-127.25,54.25,27.744242197232
-127.25,54.75,26.6682808732359
-127.25,55.25,26.0166055524683
-127.25,55.75,24.1935851523518
-127.25,60.25,18.761489255175
-127.25,60.75,20.3425843712394
-127.25,61.25,18.8390903578642
-127.25,61.75,15.6392857928189
-126.75,55.25,25.7526388818257
-126.75,55.75,25.1605391844827
-126.75,56.25,23.3658010428805
-126.75,57.25,22.2042986276488
-126.75,57.75,21.3781178515379
-126.75,60.25,18.847336922806
-126.75,60.75,20.4631332910588
-126.75,61.25,20.0717935516255
-126.75,61.75,18.6495201995671
-126.25,56.25,24.4104389612538
-126.25,56.75,24.5440103312032
-126.25,57.25,26.5004560542201
-126.25,57.75,25.675901370027
-126.25,58.25,23.23043138665
-126.25,61.25,17.2473987050969
-126.25,61.75,18.73236462463
-126.25,67.25,11.5845541948333
-125.75,49.25,37.4044111765541
-125.75,49.75,35.7217843258437
-125.75,51.75,33.8684322467081
-125.75,52.25,33.6461535850336
-125.75,52.75,31.2080659762107
-125.75,55.75,25.6926334471207
-125.75,56.25,25.3590820670077
-125.75,56.75,24.5596654542027
-125.75,57.25,26.6354268365343
-125.75,57.75,26.1629928668592
-125.75,58.25,24.5922264580675
-125.75,61.75,17.6477363958204
-125.75,62.25,17.7055884774379
-125.25,49.25,38.1675431883694
-125.25,51.75,35.3027493618111
-125.25,52.25,35.2913215051387
-125.25,52.75,34.6990902694738
-125.25,53.25,32.3365153452607
-125.25,57.25,23.6288092127093
-125.25,57.75,25.0899882873248
-125.25,58.25,21.6097259572704
-125.25,59.75,21.6218523294058
-125.25,60.25,22.3383669905347
-125.25,60.75,21.3680836573451
-125.25,61.25,18.175971832641
-125.25,62.25,17.260176355401
-125.25,62.75,15.9520953098286
-125.25,63.25,16.1332673342231
-125.25,63.75,15.6995853688758
-124.75,48.75,39.1610491508917
-124.75,49.25,40.4743162214578
-124.75,50.75,34.9712527064505
-124.75,51.25,34.0920863835123
-124.75,52.25,33.0012793940107
-124.75,52.75,33.9741454417887
-124.75,53.25,31.3657043981328
-124.75,59.75,23.2730745123954
-124.75,60.25,22.8843162442255
-124.75,60.75,22.1203465885872
-124.75,61.25,19.3779323374374
-124.75,63.25,15.5265732677852
-124.25,48.75,42.9371309525649
-124.25,49.25,43.187500122967
-124.25,50.25,36.6411322048773
-124.25,50.75,36.1269228802197
-124.25,52.75,34.7232922333826
-124.25,53.25,32.7847389970883
-124.25,57.75,23.8792802097821
-124.25,58.25,24.7468766078478
-124.25,58.75,23.0793402904234
-124.25,59.25,22.3575392327764
-124.25,59.75,22.3633777450327
-124.25,60.25,20.5227066359096
-124.25,60.75,21.7894631192526
-124.25,61.25,20.0153462056012
-123.75,39.25,51.4677336507898
-123.75,39.75,52.203504673479
-123.75,40.25,51.547383543799
-123.75,40.75,53.3946611262392
-123.75,41.25,52.1283304323813
-123.75,45.75,44.538646937874
-123.75,48.75,41.9029177546756
-123.75,49.75,43.5154954928462
-123.75,50.25,41.7805202553871
-123.75,50.75,38.9521667563191
-123.75,51.25,36.0507573764422
-123.75,52.75,34.2125521407351
-123.75,53.25,34.0276681683119
-123.75,53.75,30.8153235153456
-123.75,57.25,24.935333003047
-123.75,57.75,27.8305767880627
-123.75,58.25,26.9168666107318
-123.75,58.75,24.6006266008453
-123.75,59.25,23.562523351599
-123.75,59.75,22.2439015388628
-123.75,60.75,18.7341898286121
-123.75,64.75,14.518976659277
-123.25,39.25,52.6009675167143
-123.25,39.75,55.1660941124244
-123.25,40.25,55.8251126761034
-123.25,40.75,56.1780949698702
-123.25,41.25,53.3823187360767
-123.25,43.25,47.8215823113892
-123.25,43.75,47.6345310314471
-123.25,45.75,46.4323395932443
-123.25,46.25,45.1882486413389
-123.25,49.75,44.0927384089311
-123.25,50.25,43.138114280993
-123.25,50.75,41.4917514696631
-123.25,51.25,38.5154205247854
-123.25,51.75,35.7453704897703
-123.25,53.75,31.0457778869515
-123.25,57.25,26.8586590839395
-123.25,57.75,28.167416022094
-123.25,58.25,27.1264599871333
-123.25,58.75,24.0320433065473
-123.25,59.25,22.8373623195822
-123.25,59.75,21.2156502504334
-122.75,38.25,53.3640085097453
-122.75,38.75,54.0683066223033
-122.75,39.25,53.4112618312077
-122.75,39.75,54.1065022407524
-122.75,40.25,56.4080744828382
-122.75,40.75,56.8134479318873
-122.75,41.25,54.1930162530857
-122.75,43.25,48.5252233079372
-122.75,43.75,48.6435998119229
-122.75,45.75,48.1143672115639
-122.75,46.25,48.2925210963618
-122.75,46.75,44.8599328333696
-122.75,49.75,39.6215969152019
-122.75,50.25,40.2990565986566
-122.75,50.75,38.8813139651241
-122.75,51.25,38.412016094396
-122.75,51.75,39.910052814727
-122.75,52.25,36.44805686859
-122.75,55.25,28.9879836714893
-122.75,57.75,26.4847227955102
-122.75,58.25,25.9466229417623
-122.75,58.75,24.6987230158033
-122.75,71.75,12.088209671692
-122.25,37.25,56.1576151766621
-122.25,38.25,57.4631464078824
-122.25,38.75,58.2012774260712
-122.25,39.25,54.6165004376
-122.25,39.75,51.6066693859748
-122.25,40.25,54.222099438698
-122.25,40.75,57.3833948258974
-122.25,41.25,55.8206498911964
-122.25,41.75,51.5342372995837
-122.25,43.75,50.3653955371819
-122.25,45.75,49.7819782869942
-122.25,46.25,51.2176128785336
-122.25,46.75,48.6734364616952
-122.25,47.25,44.8628861068818
-122.25,51.75,38.6199145379106
-122.25,52.25,37.622787968303
-122.25,52.75,35.3950830184934
-122.25,53.25,34.2169381559277
-122.25,53.75,33.8592559276229
-122.25,54.25,32.4200661404461
-122.25,54.75,31.1323022858353
-122.25,55.25,28.7666320695033
-122.25,58.25,23.6815026607529
-122.25,58.75,25.0248451180453
-122.25,67.75,11.7004270364775
-122.25,68.25,13.4873271626763
-122.25,68.75,13.9176697891819
-122.25,69.25,12.4159307938221
-122.25,71.75,10.7903011406326
-121.75,36.75,54.4246533793129
-121.75,37.25,56.537963355027
-121.75,37.75,56.1228518745796
-121.75,38.25,56.0969044104002
-121.75,38.75,56.4333140798432
-121.75,39.25,53.9514405023884
-121.75,40.75,54.6656723261168
-121.75,41.25,55.5223382629131
-121.75,41.75,55.6565191800112
-121.75,42.25,52.1246504473685
-121.75,43.75,49.5983181476205
-121.75,45.75,50.4765107335792
-121.75,46.25,50.7057322069568
-121.75,46.75,46.8295697591483
-121.75,51.75,36.8998053727187
-121.75,52.75,34.3249674233377
-121.75,53.25,35.4298930377978
-121.75,53.75,35.6450189864366
-121.75,54.25,32.3928520417741
-121.75,63.25,16.0760993903947
-121.75,68.25,14.3469141640839
-121.75,68.75,13.9639252366156
-121.75,69.25,12.2375368281693
-121.25,37.25,54.5233752171603
-121.25,37.75,54.8483245981984
-121.25,41.25,54.4887737962991
-121.25,41.75,54.8453989556752
-121.25,42.25,54.1878225500714
-121.25,42.75,52.9768827453195
-121.25,43.25,49.7008262864429
-121.25,45.75,47.9022432093188
-121.25,46.25,48.637961119017
-121.25,46.75,47.4820883834656
-121.25,50.75,38.3599487898133
-121.25,51.25,38.7225370491815
-121.25,51.75,36.6853791052194
-121.25,62.75,17.0871009636624
-121.25,63.25,16.6541966092437
-121.25,68.25,12.8961231360865
-121.25,68.75,11.8377680682758
-120.75,35.75,54.1582306034363
-120.75,37.75,55.3147724930299
-120.75,41.25,55.5089757830841
-120.75,41.75,52.9364276738104
-120.75,42.25,51.6512482743146
-120.75,42.75,53.5895395140036
-120.75,46.25,47.1880736871472
-120.75,46.75,48.9865681118438
-120.75,47.25,46.6734870844307
-120.75,47.75,44.4650855507736
-120.75,50.75,38.5395189703599
-120.75,51.25,38.0202741046585
-120.75,57.75,25.3388569528624
-120.75,62.75,17.5094210419788
-120.75,63.25,16.8650171032108
-120.25,34.75,57.095340467344
-120.25,35.25,58.9883698469401
-120.25,35.75,56.8924412755829
-120.25,36.25,53.8671415679286
-120.25,37.75,55.9803179405736
-120.25,38.25,54.0798875375985
-120.25,39.75,53.3487888723969
-120.25,40.25,53.9213425277913
-120.25,40.75,55.4943453708924
-120.25,41.25,55.1260009182423
-120.25,44.75,50.1915250244553
-120.25,45.25,47.9691920266465
-120.25,46.75,47.7648022707517
-120.25,47.25,47.762719294059
-120.25,47.75,47.7088467954678
-120.25,48.25,46.9646212925009
-120.25,48.75,44.7737295626985
-120.25,49.25,41.5653571863051
-120.25,57.75,24.7392237946045
-120.25,58.25,25.2429136762657
-120.25,62.75,17.2353355459059
-120.25,63.25,16.595605525302
-120.25,64.25,16.1248181121423
-119.75,34.75,58.8147789058611
-119.75,35.25,60.1553262554875
-119.75,35.75,56.9431727526959
-119.75,38.25,53.9773612275163
-119.75,38.75,55.9090746451359
-119.75,39.25,58.0861095933403
-119.75,39.75,59.1847273559739
-119.75,40.25,57.194464975653
-119.75,40.75,54.2859309039119
-119.75,46.75,45.9431787000789
-119.75,47.25,46.5044992624539
-119.75,47.75,46.3854691055017
-119.75,48.25,46.68303813755
-119.75,48.75,45.2862019550938
-119.75,49.25,42.7811045260687
-119.75,50.25,40.4599102261527
-119.75,50.75,38.9563283571482
-119.75,57.75,25.3415943056895
-119.75,58.25,27.5736678726292
-119.75,58.75,25.1341613244737
-119.75,59.75,22.5259602664539
-119.75,62.75,19.7135804113898
-119.75,63.25,18.6855446526264
-119.75,63.75,18.4188276401021
-119.75,64.25,18.5433905238673
-119.25,35.25,56.8572045065001
-119.25,35.75,58.7021441331883
-119.25,36.25,56.4318736081841
-119.25,38.75,54.5417491809333
-119.25,39.25,56.6188587220257
-119.25,39.75,56.9197193635761
-119.25,40.25,55.6811717911225
-119.25,47.25,46.5395856230029
-119.25,47.75,46.4179177341196
-119.25,48.25,45.5310316507932
-119.25,48.75,42.5950438803723
-119.25,52.75,34.9114364469935
-119.25,53.25,36.0491459156095
-119.25,53.75,32.8057197885004
-119.25,55.25,31.3666384059468
-119.25,55.75,30.0327254493205
-119.25,57.75,28.2259834906177
-119.25,58.25,25.7460988691593
-119.25,59.75,23.9517177413679
-119.25,60.25,22.5230189726973
-119.25,62.25,17.7357381011393
-119.25,62.75,20.4636493147098
-119.25,63.25,18.9416820531895
-119.25,63.75,16.9179250225257
-119.25,64.25,15.417784251749
-118.75,35.75,58.3261442687162
-118.75,36.25,57.3329362806864
-118.75,39.25,54.6078692511335
-118.75,43.25,51.9563723133371
-118.75,43.75,51.2277220107611
-118.75,44.25,51.5315914093023
-118.75,46.25,48.3106617453302
-118.75,46.75,48.8508754774853
-118.75,47.25,47.8241496660451
-118.75,47.75,46.5207614090873
-118.75,48.25,46.0306104910628
-118.75,55.25,30.5690104803113
-118.75,55.75,29.2514894501503
-118.75,60.25,20.7682626937415
-118.75,71.75,11.7993183076705
-118.25,35.75,55.1250748457845
-118.25,38.25,54.7776677520484
-118.25,38.75,56.4573123478783
-118.25,39.25,55.5014297237943
-118.25,42.75,52.8625374556048
-118.25,43.25,52.3352964801615
-118.25,43.75,50.544530036436
-118.25,45.75,49.754498977062
-118.25,46.25,52.789896233695
-118.25,46.75,52.4734532464372
-118.25,47.25,48.9949540039155
-118.25,51.75,38.1400890036272
-118.25,55.25,30.2386550280861
-118.25,55.75,29.5018661988578
-118.25,56.25,28.5397789720178
-117.75,33.75,56.2048550491181
-117.75,38.25,56.7591019803985
-117.75,38.75,57.0668987710118
-117.75,39.25,54.9430860825761
-117.75,42.75,53.3815383508831
-117.75,43.25,52.1068597092227
-117.75,45.75,53.1475728924409
-117.75,46.25,53.0991960414435
-117.75,46.75,48.7103027454187
-117.75,47.25,46.4618473806544
-117.75,51.25,39.3863499379878
-117.75,51.75,38.9417461128286
-117.75,55.25,31.8216159099941
-117.75,55.75,33.223826948993
-117.75,56.25,31.0527832897781
-117.75,65.75,14.4521408879936
-117.75,66.25,13.4909000393375
-117.25,32.75,56.6420973686873
-117.25,33.25,55.6057256033243
-117.25,33.75,54.6892698104205
-117.25,37.75,56.1282311472078
-117.25,38.25,57.8025831147913
-117.25,38.75,57.9793407163362
-117.25,39.25,56.5689858484163
-117.25,41.75,53.1785574519959
-117.25,42.25,53.5701392141095
-117.25,45.75,52.9832750516208
-117.25,46.25,50.6574424874383
-117.25,48.75,43.6887159473549
-117.25,49.25,43.9302018072935
-117.25,49.75,42.2623833261267
-117.25,50.25,41.4081971814097
-117.25,50.75,40.3112559310316
-117.25,54.75,30.8325562565496
-117.25,55.25,30.7175761531999
-117.25,55.75,30.3294950851632
-117.25,56.25,28.1052738193715
-117.25,58.75,24.9150685472723
-117.25,62.75,17.2520606895395
-117.25,65.75,16.5392987426473
-117.25,66.25,16.1203826953284
-117.25,66.75,14.1332188086805
-116.75,32.25,55.8969321002191
-116.75,32.75,56.3969184992398
-116.75,33.25,54.7910655858343
-116.75,35.25,54.5598891118155
-116.75,35.75,56.9581979871181
-116.75,36.25,58.4260525908624
-116.75,36.75,56.9204596901425
-116.75,37.25,56.7560785825054
-116.75,37.75,58.9732218343334
-116.75,38.25,58.4944859356426
-116.75,38.75,57.699663382924
-116.75,39.25,57.7702851247555
-116.75,39.75,54.5514577203497
-116.75,40.75,53.5082119169477
-116.75,41.25,54.3148931820848
-116.75,41.75,56.6144280296746
-116.75,42.25,55.3619678190182
-116.75,45.75,49.369023859342
-116.75,46.25,49.4922081121844
-116.75,48.75,46.9665763474347
-116.75,49.25,47.7292325360465
-116.75,49.75,46.5605951701864
-116.75,50.25,42.0647746158033
-116.75,54.75,30.6542369969192
-116.75,58.75,26.4887053239325
-116.75,59.25,24.6147371500175
-116.75,59.75,21.0691269687818
-116.75,62.75,17.3362459863583
-116.75,66.25,16.051273325602
-116.75,66.75,15.5555977145232
-116.25,31.25,53.0513349964093
-116.25,31.75,55.6087878950202
-116.25,32.25,53.065491034266
-116.25,34.75,54.1222608697146
-116.25,35.25,54.9308099803857
-116.25,35.75,55.4945985169814
-116.25,36.25,59.6591259206683
-116.25,36.75,61.0046462842143
-116.25,37.25,58.5607712463398
-116.25,37.75,59.6759051151527
-116.25,38.25,60.8637688486622
-116.25,38.75,60.172153525677
-116.25,39.25,59.2449615410705
-116.25,39.75,58.5252928509157
-116.25,40.25,56.2691443618444
-116.25,40.75,54.6633992373252
-116.25,41.25,54.9174173003081
-116.25,41.75,55.6388141919311
-116.25,42.25,53.9877066538083
-116.25,42.75,51.8211586454517
-116.25,43.25,52.1733970036963
-116.25,43.75,51.5299213153838
-116.25,46.25,51.1480426411539
-116.25,46.75,49.5533983347113
-116.25,48.25,43.7953503866074
-116.25,48.75,45.9320702078274
-116.25,49.25,46.4945584511594
-116.25,49.75,44.1585191425363
-116.25,54.75,31.7603401052679
-116.25,57.75,25.6600671664991
-116.25,58.25,27.0516994951897
-116.25,58.75,27.1631541307595
-116.25,59.25,24.5912487053353
-116.25,59.75,22.3459849736995
-116.25,60.25,20.9600188807062
-116.25,62.75,16.943051586378
-116.25,63.25,16.4274916174365
-116.25,66.75,14.3264857825256
-116.25,67.25,12.6770628863307
-115.75,30.25,54.9903160472816
-115.75,30.75,54.8108368522516
-115.75,31.25,53.4123420919106
-115.75,31.75,52.3205452139867
-115.75,33.75,53.8772500127142
-115.75,34.25,54.9717953209169
-115.75,34.75,55.9451448564117
-115.75,35.25,54.9893174016718
-115.75,36.25,57.3114799852404
-115.75,36.75,60.0031783477254
-115.75,37.25,57.1044391953944
-115.75,37.75,57.8445180249982
-115.75,38.25,60.763891053192
-115.75,38.75,60.1702537654757
-115.75,39.25,59.7428509719182
-115.75,39.75,60.1961774216932
-115.75,40.25,59.2311703174513
-115.75,40.75,55.4199178695545
-115.75,41.25,55.6701842382858
-115.75,41.75,55.1788361352035
-115.75,42.25,51.7572574163752
-115.75,43.25,52.9932230311531
-115.75,43.75,53.4786406680731
-115.75,44.25,51.025070475143
-115.75,46.25,52.0266926005643
-115.75,46.75,51.1677137571386
-115.75,47.25,45.7271393397219
-115.75,49.25,41.6957076524826
-115.75,50.75,38.8541335910822
-115.75,54.25,32.4245007244241
-115.75,54.75,32.218009160217
-115.75,57.75,29.0064860733375
-115.75,58.25,27.9965313721024
-115.75,58.75,27.0108987827384
-115.75,59.25,24.6081624450312
-115.75,59.75,23.2160831375024
-115.75,60.25,20.7396729729782
-115.75,63.25,16.3285713786372
-115.75,67.25,12.7272156627383
-115.75,67.75,11.6320219340933
-115.25,29.75,55.4044095415169
-115.25,30.25,56.4878716892365
-115.25,30.75,55.9497802982817
-115.25,31.25,52.7310434191617
-115.25,33.75,54.8829578727449
-115.25,34.25,53.721699264701
-115.25,37.75,54.3392239883923
-115.25,38.25,56.5526740639243
-115.25,38.75,57.826523169386
-115.25,39.25,58.3853261272885
-115.25,39.75,58.8695936811374
-115.25,40.25,57.1732689820222
-115.25,40.75,53.7528266988712
-115.25,41.25,54.0787274122922
-115.25,41.75,53.8419922538653
-115.25,43.25,51.8692201832515
-115.25,43.75,51.8844954445191
-115.25,46.25,49.2264681496674
-115.25,46.75,47.6159961165674
-115.25,50.25,41.0832517698109
-115.25,50.75,43.6148817349812
-115.25,51.25,41.1859223781887
-115.25,54.25,31.5013376852424
-115.25,54.75,32.0910728776346
-115.25,55.25,29.5601831345122
-115.25,57.75,27.0113450859601
-115.25,58.25,25.4298503478818
-115.25,58.75,24.1419562590233
-115.25,59.25,24.0714763082249
-115.25,59.75,24.333433871317
-115.25,60.25,21.3227856833908
-115.25,67.25,11.8147447061723
-114.75,27.75,48.036148285469
-114.75,29.75,51.9984066109181
-114.75,30.25,55.4335603060699
-114.75,30.75,54.3063391644014
-114.75,31.75,53.2222341716841
-114.75,32.25,54.6156372022139
-114.75,38.25,55.5352801731589
-114.75,38.75,57.6696331427858
-114.75,39.25,56.5313773312493
-114.75,39.75,54.6267004703017
-114.75,40.25,54.6041646143944
-114.75,43.25,51.2572366664225
-114.75,43.75,50.7223853879426
-114.75,46.25,46.5624665313038
-114.75,47.75,44.6015701945497
-114.75,49.75,40.8842787235652
-114.75,50.25,42.0986934202625
-114.75,50.75,39.7142244462865
-114.75,51.25,37.2386619706867
-114.75,53.25,32.9511543387351
-114.75,54.25,32.2292557072912
-114.75,54.75,34.0441706030557
-114.75,55.25,29.2985226649466
-114.25,27.25,47.570795715285
-114.25,31.75,53.9616533607843
-114.25,32.25,58.2959610682081
-114.25,32.75,54.5193829680253
-114.25,33.75,53.2006592469379
-114.25,34.25,56.0104317985265
-114.25,34.75,57.1886603408357
-114.25,35.25,55.8834075713719
-114.25,37.75,56.101614635522
-114.25,38.25,56.2848528217988
-114.25,38.75,55.1491202989739
-114.25,39.25,53.3450233425219
-114.25,40.25,54.8834163986461
-114.25,40.75,53.5545802003495
-114.25,43.25,50.7981429829144
-114.25,43.75,49.9120621171336
-114.25,44.25,49.3198094430218
-114.25,47.25,45.508320618142
-114.25,47.75,45.7024842043065
-114.25,52.25,35.7633635466091
-114.25,52.75,36.4319709355902
-114.25,53.25,36.1137421701197
-114.25,53.75,34.4479189168283
-114.25,54.25,34.1392644501928
-114.25,54.75,32.9324820215133
-113.75,27.25,47.2319681563463
-113.75,32.25,53.2319623065985
-113.75,33.75,55.2092235232433
-113.75,34.25,58.5728434151208
-113.75,34.75,59.6005201289613
-113.75,35.25,55.9888309049935
-113.75,37.75,55.7807232772812
-113.75,40.25,55.6985067942435
-113.75,40.75,55.5323037519259
-113.75,41.25,51.9527970343814
-113.75,51.75,36.8656633694109
-113.75,52.25,38.371830604488
-113.75,52.75,38.4238111090962
-113.75,53.25,37.9411332370345
-113.75,53.75,36.8216109590938
-113.75,54.25,33.1606140218937
-113.75,65.75,13.4205815009444
-113.75,66.25,13.4467376156973
-113.25,27.25,47.3294769023316
-113.25,27.75,47.5413582551297
-113.25,33.75,54.5948384414732
-113.25,34.25,57.620677115174
-113.25,34.75,57.2346711372326
-113.25,35.25,53.5466635345834
-113.25,40.25,52.4762753881306
-113.25,40.75,53.147842126002
-113.25,41.25,52.0828184302425
-113.25,41.75,51.3947821785054
-113.25,51.75,37.1624392786
-113.25,52.25,37.1161962988155
-113.25,52.75,37.1963652405306
-113.25,53.25,37.0210360885267
-113.25,53.75,36.3333262418011
-113.25,54.25,31.3106146564237
